price,home_type,bedrooms,bathrooms,square_feet,built,county,zipcode,high_school
619000,Condo - Loft,1,2.0,1233,1998,Multnomah,97209,Lincoln
619000,Single Family - Bungalow,3,2.0,2185,1905,Multnomah,97202,Cleveland
619000,Single Family - Daylight Ranch,4,2.0,2502,1942,Multnomah,97206,Franklin
619900,Single Family - Ranch,4,3.0,3375,1968,Multnomah,97221,Lincoln
619950,Condo - NW Contemporary,2,2.0,1165,2009,Multnomah,97217,Grant
620000,Condo - Row House,3,3.0,2501,2006,Multnomah,97212,Grant
620000,Condo - Common Wall,2,2.0,1481,2006,Multnomah,97201,Lincoln
620000,Single Family - Traditional,4,4.0,2652,1999,Multnomah,97219,Wilson
624900,Single Family - Ranch,3,2.0,2415,1957,Multnomah,97206,Cleveland
624900,Single Family - 2 Story,4,4.0,2212,2015,Multnomah,97202,Cleveland
624900,Single Family - Craftsman,3,3.0,1661,2020,Multnomah,97211,Jefferson
624950,Single Family - Bungalow,5,2.0,1840,1909,Multnomah,97202,Cleveland
625000,Condo - Contemporary,3,3.0,2503,2016,Multnomah,97202,Cleveland
625000,Single Family - Tri Level,7,3.0,3676,1909,Multnomah,97211,Jefferson
625000,Single Family - Traditional,4,3.0,2547,2005,Washington,97225,Beaverton
625000,Single Family - FourSquare,4,2.0,3234,1890,Multnomah,97217,Jefferson
625000,Single Family - Contemporary,4,3.0,3264,1988,Washington,97229,Sunset
625000,Single Family - Bungalow,5,3.0,2732,1907,Multnomah,97217,Roosevelt
625000,Single Family - Traditional,4,3.0,2195,1996,Multnomah,97219,Wilson
626000,Single Family - Traditional,3,2.0,1494,1949,Multnomah,97201,Lincoln
629000,Condo - Traditional,2,2.0,1286,2003,Multnomah,97209,Lincoln
629000,Single Family - Bungalow,2,2.0,2647,1912,Multnomah,97201,Lincoln
629000,Single Family - FourSquare,3,2.0,2700,1918,Multnomah,97213,Grant
629000,Single Family - 2 Story,5,4.0,3304,1920,Multnomah,97217,Jefferson
629000,Single Family - FourSquare,4,3.0,2334,1906,Multnomah,97211,Jefferson
629000,Single Family - Traditional,4,3.0,3000,2004,Washington,97225,Beaverton
629000,Single Family - Daylight Ranch,6,4.0,2866,1968,Multnomah,97221,Wilson
629000,Single Family - Ranch,3,3.0,2956,1940,Washington,97225,Beaverton
629800,Condo - Traditional,5,4.0,2555,2019,Multnomah,97211,Jefferson
629900,Single Family - Craftsman,4,4.0,2630,2017,Multnomah,97266,Franklin
630000,Single Family - Contemporary,3,3.0,2168,1977,Multnomah,97230,Reynolds
632500,Single Family - Traditional,4,3.0,2514,2016,Multnomah,97219,Wilson
634800,Condo - Traditional,5,4.0,2535,2019,Multnomah,97211,Jefferson
634900,Single Family - 2 Story,3,3.0,1693,2020,Multnomah,97211,Jefferson
635000,Single Family - 2 Story,6,4.0,3212,1955,Multnomah,97206,Cleveland
635000,Single Family - Capecod,5,4.0,2970,1947,Multnomah,97219,Wilson
635000,Single Family - Bungalow,3,2.0,2120,1907,Multnomah,97214,Franklin
638990,Single Family - Craftsman,3,3.0,2089,2020,Washington,97229,Westview
639000,Condo - Common Wall,2,2.0,1325,2006,Multnomah,97239,Wilson
639000,Single Family - Bungalow,5,4.0,3017,1927,Multnomah,97217,Jefferson
639000,Single Family - Tudor,3,3.0,3104,1910,Multnomah,97211,Madison
639000,Single Family - Contemporary,2,2.0,1630,1985,Washington,97223,Southridge
639900,Single Family - Craftsman,3,2.0,2705,1914,Multnomah,97213,Madison
639900,Single Family - Bungalow,4,2.0,2114,1910,Multnomah,97213,Madison
639900,Single Family - Capecod,4,2.0,2090,1943,Multnomah,97214,Cleveland
639950,Single Family - 2 Story,4,3.0,2219,2020,Washington,97229,Sunset
640000,Single Family - Traditional,4,3.0,3095,1995,Washington,97229,Westview
644600,Single Family - 2 Story,4,3.0,2840,2005,Multnomah,97219,Wilson
648700,Condo - FourSquare,3,2.0,1453,1910,Multnomah,97209,Lincoln
648800,Single Family - Capecod,4,3.0,3186,1942,Multnomah,97221,Lincoln
648900,Single Family - Traditional,5,4.0,2966,1986,Multnomah,97219,Wilson
649000,Single Family - Daylight Ranch,5,3.0,2824,1961,Washington,97225,Beaverton
649000,Single Family - English,3,1.0,2575,1932,Multnomah,97229,Sunset
649000,Single Family - Craftsman,3,2.0,3548,1888,Multnomah,97219,Wilson
649000,Single Family - Capecod,4,2.0,2404,1931,Multnomah,97217,Jefferson
649800,Single Family - Traditional,4,3.0,2538,1992,Multnomah,97219,Wilson
649900,Condo - Contemporary,3,4.0,2220,2017,Multnomah,97211,Madison
649900,Condo - Contemporary,3,4.0,2220,2017,Multnomah,97211,Madison
649900,Single Family - Craftsman,4,3.0,2832,1962,Washington,97210,Beaverton
649900,Single Family - 2 Story,4,3.0,2526,2019,Multnomah,97203,Roosevelt
649900,Single Family - Traditional,3,2.0,2262,1952,Multnomah,97215,Franklin
649900,Single Family - Craftsman,3,2.0,2364,1910,Multnomah,97227,Jefferson
649900,Single Family - 2 Story,4,3.0,2603,2019,Multnomah,97206,Cleveland
650000,Condo - Craftsman,4,3.0,2662,2005,Washington,97225,Beaverton
650000,Floating Home - Contemporary,2,2.0,1430,1996,Multnomah,97219,Wilson
650000,Single Family - Daylight Ranch,3,3.0,2988,1961,Washington,97210,Sunset
650000,Single Family - Traditional,5,3.0,3042,2002,Washington,97225,Beaverton
650000,Single Family - Farmhouse,4,3.0,4000,1920,Multnomah,97201,Lincoln
650000,Single Family - Ranch,3,1.0,2601,1948,Multnomah,97218,Madison
650000,Single Family - Traditional,4,3.0,2455,2007,Multnomah,97233,Centennial
650000,Single Family - Traditional,3,4.0,2722,1995,Multnomah,97229,Lincoln
650000,Single Family - Farmhouse,4,4.0,2914,1988,Multnomah,97219,Wilson
650100,Single Family - Craftsman,3,3.0,2220,1928,Multnomah,97213,Grant
659000,Single Family - Traditional,4,3.0,2678,2008,Washington,97229,Westview
659000,Single Family - English,3,3.0,2205,1945,Multnomah,97211,Jefferson
659900,Single Family - Cottage,3,3.0,1770,1925,Multnomah,97212,Grant
659900,Single Family - Contemporary,4,4.0,2968,2009,Multnomah,97221,Wilson
659900,Single Family - 2 Story,4,3.0,2121,2020,Multnomah,97213,Madison
659950,Single Family - Craftsman,4,3.0,2980,2007,Multnomah,97236,Centennial
659995,Single Family - Capecod,3,2.0,2720,1924,Multnomah,97212,Grant
660000,Single Family - Traditional,6,4.0,4151,1997,Washington,97229,Sunset
665000,Single Family - Traditional,4,4.0,3064,2000,Washington,97229,Sunset
669000,Single Family - Ranch,3,3.0,2724,1955,Multnomah,97239,Wilson
669000,Single Family - Traditional,4,3.0,2408,2017,Washington,97229,Westview
669900,Single Family - Bungalow,4,2.0,2185,1922,Multnomah,97219,Wilson
669900,Single Family - Contemporary,4,3.0,2862,1976,Washington,97229,Sunset
669900,Single Family - Traditional,4,3.0,2656,2015,Washington,97229,Westview
669900,Single Family - Contemporary,5,4.0,4183,2002,Multnomah,97236,David Douglas
669999,Single Family - Bungalow,3,2.0,3149,1913,Multnomah,97215,Franklin
670000,Single Family - Craftsman,5,4.0,4037,1997,Washington,97229,Sunset
674900,Condo - NW Contemporary,4,4.0,2567,2018,Multnomah,97211,Jefferson
674900,Condo - Contemporary,4,4.0,2328,2019,Multnomah,97211,Grant
674900,Condo - Contemporary,3,4.0,1969,2020,Multnomah,97202,Franklin
674900,Single Family - Bungalow,4,4.0,2679,1912,Multnomah,97202,Cleveland
675000,Condo - Contemporary,1,2.0,1401,2005,Multnomah,97209,Lincoln
675000,Condo - Loft,3,1.0,1635,1925,Multnomah,97209,Lincoln
675000,Condo - Contemporary,1,1.0,1097,2018,Multnomah,97209,Lincoln
675000,Floating Home - Contemporary,3,3.0,2432,1988,Multnomah,97219,Wilson
675000,Single Family - Bungalow,6,4.0,3130,1923,Multnomah,97213,Grant
675000,Single Family - Daylight Ranch,3,2.0,2312,1968,Multnomah,97230,Parkrose
675000,Single Family - Daylight Ranch,4,3.0,2912,1960,Washington,97225,Beaverton
